ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|Q8IVL6|Positive_11	Extracellular	0.0902	0.0198	0.0082	0.4325	0.0594	0.0131	0.4112	0.0002	0.0301	0.0251	0.0004
sp|Q8CG70|Positive_11	Extracellular	0.0773	0.0359	0.0119	0.4405	0.0342	0.017	0.4032	0.0001	0.0339	0.0228	0.0004
sp|Q9R1J8|Positive_11	Cytoplasm	0.0897	0.1498	0.6691	0.0051	0.0322	0.0342	0.009	0.0481	0.0114	0.0268	0.0142
sp|Q6JHU8|Positive_11	Endoplasmic_reticulum	0.0656	0.0089	0.0889	0.238	0.0368	0.0321	0.4491	0.0185	0.0049	0.1222	0.0007
sp|O18750|Positive_9	Cytoplasm	0.0578	0.326	0.5543	0.0007	0.0242	0.0038	0.0191	0.0038	0.0382	0.027	0.0029
sp|Q8IVL5|Positive_11	Endoplasmic_reticulum	0.0723	0.0005	0.0008	0.192	0.003	0.0018	0.758	0.0001	0.0022	0.0416	0.0
sp|Q4KLM6|Positive_11	Endoplasmic_reticulum	0.0136	0.0001	0.0004	0.4656	0.0004	0.0022	0.4984	0.0	0.0001	0.0326	0.0
sp|Q8CG71|Positive_11	Extracellular	0.0168	0.0002	0.0008	0.4917	0.0009	0.0024	0.4739	0.0001	0.0002	0.0299	0.0
sp|Q6JHU7|Positive_11	Extracellular	0.0103	0.0001	0.0008	0.5254	0.0015	0.0011	0.4252	0.0001	0.0003	0.0455	0.0
sp|Q75HQ0|Positive_12	Endoplasmic_reticulum	0.0917	0.0	0.0001	0.0657	0.0015	0.0019	0.6459	0.0005	0.0471	0.2372	0.0
sp|Q8IWF2|Positive_13	Extracellular	0.1232	0.0012	0.0064	0.4633	0.09	0.0131	0.3051	0.0159	0.0011	0.1006	0.0034
sp|Q8SWH2|Positive_14	Endoplasmic_reticulum	0.0854	0.0054	0.1092	0.1394	0.0925	0.0047	0.5596	0.0075	0.0044	0.0699	0.0073
sp|Q6BZH1|Positive_12	Endoplasmic_reticulum	0.3199	0.0001	0.0	0.0075	0.0008	0.0012	0.8751	0.0001	0.0951	0.02	0.0
sp|P16474|Positive_12	Endoplasmic_reticulum	0.449	0.0004	0.0016	0.0043	0.0058	0.0038	0.7811	0.0012	0.1353	0.0661	0.0003
sp|Q6Z058|Positive_12	Endoplasmic_reticulum	0.0556	0.0	0.0001	0.0449	0.0007	0.0005	0.838	0.0	0.0072	0.1085	0.0
sp|Q8H1B3|Positive_12	Endoplasmic_reticulum	0.3509	0.0025	0.0106	0.001	0.0046	0.009	0.6386	0.0007	0.1966	0.1357	0.0006
sp|Q75C78|Positive_12	Endoplasmic_reticulum	0.2101	0.0001	0.0006	0.0686	0.0012	0.0012	0.8673	0.0005	0.0071	0.0534	0.0
sp|P59769|Positive_12	Endoplasmic_reticulum	0.4314	0.0002	0.0004	0.0086	0.0027	0.0382	0.6606	0.0009	0.1761	0.1122	0.0001
sp|P83617|Positive_12	Endoplasmic_reticulum	0.4314	0.0002	0.0004	0.0086	0.0027	0.0382	0.6606	0.0009	0.1761	0.1122	0.0001
sp|P83616|Positive_12	Endoplasmic_reticulum	0.4314	0.0002	0.0004	0.0086	0.0027	0.0382	0.6606	0.0009	0.1761	0.1122	0.0001
sp|Q99170|Positive_12	Endoplasmic_reticulum	0.0133	0.0001	0.0009	0.1957	0.0005	0.0006	0.7057	0.0002	0.0001	0.0962	0.0
sp|Q6L590|Positive_12	Endoplasmic_reticulum	0.0696	0.0	0.0002	0.0444	0.0019	0.0018	0.7494	0.0003	0.0116	0.1904	0.0001
sp|Q53RJ5|Positive_12	Endoplasmic_reticulum	0.1117	0.0001	0.0029	0.0723	0.002	0.0011	0.8323	0.0007	0.0049	0.0835	0.0002
sp|Q9LKR3|Positive_12	Endoplasmic_reticulum	0.2635	0.0002	0.0025	0.0255	0.0014	0.0022	0.8973	0.0007	0.0338	0.0364	0.0
sp|Q42434|Positive_12	Endoplasmic_reticulum	0.3411	0.0002	0.0009	0.0133	0.0067	0.0024	0.8644	0.0018	0.0491	0.0608	0.0004
sp|Q03685|Positive_12	Endoplasmic_reticulum	0.5556	0.0002	0.0003	0.0052	0.0042	0.0028	0.6868	0.0008	0.2651	0.0344	0.0002
sp|Q39043|Positive_12	Endoplasmic_reticulum	0.4099	0.0007	0.0012	0.0113	0.0031	0.0046	0.841	0.0018	0.1126	0.0235	0.0001
sp|Q03684|Positive_12	Endoplasmic_reticulum	0.5029	0.0002	0.0003	0.0049	0.0042	0.003	0.7626	0.0008	0.1953	0.0286	0.0002
sp|Q16956|Positive_12	Endoplasmic_reticulum	0.0501	0.0001	0.0013	0.0679	0.0005	0.0007	0.9079	0.0001	0.0002	0.0213	0.0
sp|P49118|Positive_12	Endoplasmic_reticulum	0.101	0.0	0.0004	0.0689	0.0013	0.0009	0.8231	0.0005	0.0287	0.076	0.0001
sp|Q3USW5|Positive_13	Extracellular	0.0467	0.0021	0.0139	0.6399	0.0212	0.0045	0.2678	0.0037	0.0003	0.0457	0.0008
sp|Q6Z7B0|Positive_12	Endoplasmic_reticulum	0.2232	0.0001	0.0003	0.0306	0.0013	0.0016	0.9236	0.0004	0.0065	0.0357	0.0
sp|Q9HG01|Positive_12	Endoplasmic_reticulum	0.3292	0.0004	0.0022	0.0174	0.0038	0.0072	0.8865	0.0026	0.027	0.0525	0.0002
sp|P36604|Positive_12	Endoplasmic_reticulum	0.0385	0.0003	0.0006	0.0511	0.0006	0.0003	0.9203	0.0002	0.0018	0.0249	0.0
sp|P24067|Positive_12	Endoplasmic_reticulum	0.1569	0.0001	0.0005	0.0431	0.0016	0.0025	0.8844	0.0006	0.0039	0.0632	0.0
sp|O24581|Positive_12	Endoplasmic_reticulum	0.1798	0.0001	0.0003	0.0364	0.0013	0.0013	0.9004	0.0006	0.004	0.0555	0.0
sp|P27420|Positive_12	Endoplasmic_reticulum	0.0091	0.0001	0.0061	0.1671	0.0005	0.0002	0.8018	0.0001	0.0	0.024	0.0
sp|P78695|Positive_12	Endoplasmic_reticulum	0.1962	0.0	0.0001	0.0295	0.0003	0.0007	0.8395	0.0001	0.077	0.0527	0.0
sp|P19208|Positive_12	Endoplasmic_reticulum	0.009	0.0001	0.0046	0.1728	0.0006	0.0003	0.7943	0.0002	0.0	0.0271	0.0
sp|Q91883|Positive_12	Endoplasmic_reticulum	0.0122	0.0002	0.0029	0.1334	0.001	0.0002	0.8435	0.0004	0.0001	0.0184	0.0
sp|Q8T869|Positive_12	Endoplasmic_reticulum	0.0103	0.0	0.0003	0.0935	0.0003	0.0002	0.8854	0.0	0.0001	0.0203	0.0
sp|P20163|Positive_12	Endoplasmic_reticulum	0.0055	0.0004	0.0315	0.3536	0.0012	0.0003	0.5799	0.0004	0.0002	0.0326	0.0
sp|P29844|Positive_12	Endoplasmic_reticulum	0.0171	0.0017	0.0454	0.259	0.0091	0.0007	0.6291	0.0016	0.0001	0.0533	0.0001
sp|Q0VCX2|Positive_12	Endoplasmic_reticulum	0.0128	0.0001	0.0016	0.1162	0.0007	0.0002	0.8609	0.0001	0.0001	0.0201	0.0
sp|Q05866|Positive_12	Endoplasmic_reticulum	0.0778	0.0001	0.001	0.0426	0.0008	0.0005	0.934	0.0001	0.0017	0.0191	0.0
sp|P20029|Positive_12	Endoplasmic_reticulum	0.0194	0.0002	0.0107	0.2204	0.0019	0.0003	0.7387	0.0004	0.0001	0.0272	0.0
sp|Q3S4T7|Positive_12	Endoplasmic_reticulum	0.0293	0.0001	0.0012	0.1293	0.0006	0.0003	0.8502	0.0001	0.0001	0.0181	0.0
sp|P11021|Positive_12	Endoplasmic_reticulum	0.0086	0.0001	0.0033	0.1489	0.0009	0.0003	0.8156	0.0002	0.0	0.0306	0.0
sp|P06761|Positive_12	Endoplasmic_reticulum	0.0249	0.0004	0.0042	0.2237	0.0021	0.0005	0.7374	0.0003	0.0001	0.0313	0.0
sp|P07823|Positive_12	Endoplasmic_reticulum	0.0268	0.0002	0.0025	0.1603	0.001	0.0004	0.7968	0.0001	0.0002	0.0385	0.0
sp|Q5R4P0|Positive_12	Endoplasmic_reticulum	0.0083	0.0001	0.0036	0.1595	0.001	0.0003	0.8047	0.0002	0.0	0.0307	0.0
sp|Q90593|Positive_12	Endoplasmic_reticulum	0.0131	0.003	0.0501	0.1167	0.0185	0.0007	0.7442	0.0006	0.0005	0.0655	0.0002
sp|Q24798|Positive_12	Endoplasmic_reticulum	0.1727	0.0024	0.0148	0.0524	0.0122	0.0164	0.8443	0.0046	0.0015	0.0511	0.0003
sp|Q24895|Positive_12	Endoplasmic_reticulum	0.0975	0.0007	0.0053	0.0827	0.0021	0.0072	0.8429	0.0009	0.0005	0.0576	0.0001
sp|Q9FM96|Positive_15	Endoplasmic_reticulum	0.1352	0.0055	0.0028	0.2931	0.0046	0.0052	0.571	0.0014	0.0653	0.0511	0.0
sp|P13667|Positive_16	Endoplasmic_reticulum	0.0115	0.0001	0.0001	0.0662	0.0004	0.0001	0.9053	0.0	0.0021	0.0257	0.0
sp|Q29RV1|Positive_16	Endoplasmic_reticulum	0.0168	0.0001	0.0001	0.0344	0.0005	0.0001	0.9446	0.0	0.0029	0.0173	0.0
sp|P38659|Positive_16	Endoplasmic_reticulum	0.0117	0.0001	0.0001	0.0849	0.0003	0.0001	0.8963	0.0	0.0004	0.0178	0.0
sp|P08003|Positive_16	Endoplasmic_reticulum	0.0104	0.0	0.0001	0.0694	0.0002	0.0001	0.9068	0.0	0.0003	0.023	0.0
sp|Q29NU5|Positive_17	Endoplasmic_reticulum	0.2654	0.0005	0.0008	0.024	0.0009	0.0005	0.9485	0.0	0.0109	0.014	0.0
sp|Q8IYK4|Positive_17	Endoplasmic_reticulum	0.0337	0.0014	0.0078	0.4434	0.0128	0.0032	0.4713	0.0027	0.0006	0.0564	0.0003
sp|Q6NVG7|Positive_17	Endoplasmic_reticulum	0.3294	0.002	0.0049	0.1049	0.0322	0.0173	0.7667	0.0157	0.006	0.0494	0.0009
sp|A5PK45|Positive_17	Endoplasmic_reticulum	0.0951	0.0	0.0001	0.072	0.0006	0.0002	0.8781	0.0	0.0186	0.0303	0.0
sp|Q8NBJ5|Positive_17	Endoplasmic_reticulum	0.0626	0.0001	0.0001	0.0511	0.0006	0.0002	0.924	0.0	0.0078	0.0162	0.0
sp|P34329|Positive_16	Endoplasmic_reticulum	0.0197	0.0001	0.0006	0.1529	0.0005	0.0003	0.8114	0.0	0.0004	0.0338	0.0
sp|Q8K297|Positive_17	Endoplasmic_reticulum	0.1307	0.0009	0.0013	0.1204	0.0226	0.0012	0.7995	0.0002	0.015	0.0387	0.0003
sp|Q5NBP9|Positive_15	Extracellular	0.0798	0.0005	0.0003	0.4851	0.0011	0.0253	0.4629	0.0	0.0021	0.0228	0.0
sp|A2WNF5|Positive_15	Extracellular	0.0594	0.0011	0.0003	0.5277	0.0013	0.0192	0.4273	0.0	0.0025	0.0205	0.0
sp|Q8IPK4|Positive_17	Endoplasmic_reticulum	0.066	0.0002	0.0005	0.0512	0.0002	0.0003	0.9374	0.0	0.0004	0.0097	0.0
sp|Q5U483|Positive_17	Endoplasmic_reticulum	0.4151	0.0087	0.0185	0.0463	0.0782	0.0082	0.7207	0.0021	0.0549	0.0572	0.0053
sp|A0JPH3|Positive_17	Endoplasmic_reticulum	0.2497	0.0023	0.0062	0.0453	0.0299	0.0019	0.8588	0.0003	0.0188	0.0359	0.0007
sp|A5PMF6|Positive_17	Endoplasmic_reticulum	0.058	0.0011	0.0025	0.3435	0.0088	0.001	0.6314	0.0003	0.0003	0.0113	0.0
sp|Q9FF55|Positive_18	Endoplasmic_reticulum	0.0424	0.0002	0.0005	0.0614	0.0005	0.0005	0.9081	0.0002	0.0006	0.0279	0.0
sp|A7MB73|Positive_17	Extracellular	0.0439	0.0011	0.0115	0.5961	0.0069	0.0093	0.2854	0.0003	0.0002	0.0878	0.0015
sp|Q5T4B2|Positive_17	Extracellular	0.0164	0.0001	0.0019	0.6528	0.0029	0.0064	0.232	0.0	0.0009	0.1027	0.0002
sp|A3KGW5|Positive_17	Extracellular	0.0656	0.0016	0.0083	0.5967	0.0176	0.0105	0.2933	0.0002	0.0071	0.0638	0.0008
sp|Q5XI02|Positive_19	Endoplasmic_reticulum	0.0439	0.0001	0.0002	0.0454	0.0001	0.0001	0.9515	0.0	0.0001	0.0024	0.0
sp|Q872S3|Positive_20	Extracellular	0.0764	0.0513	0.0249	0.3868	0.0559	0.016	0.3481	0.0017	0.0653	0.0491	0.001
sp|Q6BJ08|Positive_21	Endoplasmic_reticulum	0.0804	0.0281	0.0524	0.1145	0.0328	0.004	0.6761	0.0077	0.0133	0.0691	0.002
sp|Q9DAN1|Positive_19	Endoplasmic_reticulum	0.0517	0.0002	0.0004	0.0412	0.0003	0.0001	0.9549	0.0	0.0001	0.0027	0.0
sp|Q8N807|Positive_19	Endoplasmic_reticulum	0.1412	0.0003	0.0003	0.0375	0.0005	0.0004	0.9565	0.0001	0.0002	0.0042	0.0
sp|Q2HJ89|Positive_22	Endoplasmic_reticulum	0.0206	0.0001	0.0004	0.0863	0.0009	0.0008	0.8026	0.0	0.0034	0.1056	0.0
sp|Q95LM0|Positive_19	Endoplasmic_reticulum	0.2481	0.0016	0.0027	0.0307	0.0059	0.0012	0.9485	0.0004	0.0019	0.0071	0.0001
sp|P0CT24|Positive_23	Extracellular	0.0058	0.0007	0.0031	0.8736	0.0071	0.0016	0.0565	0.0015	0.0002	0.0556	0.0001
sp|Q96AY3|Positive_22	Endoplasmic_reticulum	0.0096	0.0001	0.0008	0.1666	0.0008	0.001	0.7065	0.0001	0.0006	0.1237	0.0
sp|Q61576|Positive_22	Endoplasmic_reticulum	0.0333	0.0023	0.0075	0.1024	0.0438	0.0008	0.7743	0.0002	0.0037	0.0646	0.0004
sp|Q8VX13|Positive_18	Endoplasmic_reticulum	0.0367	0.0002	0.0015	0.1084	0.0007	0.0006	0.8347	0.0007	0.0003	0.0529	0.0
sp|Q2KJC8|Positive_22	Endoplasmic_reticulum	0.0042	0.0	0.0002	0.1309	0.0004	0.0008	0.5263	0.0001	0.0001	0.3411	0.0
sp|Q5U309|Positive_17	Mitochondrion	0.211	0.0071	0.0721	0.0017	0.8821	0.0018	0.0031	0.0034	0.0005	0.001	0.0273
sp|O95302|Positive_22	Endoplasmic_reticulum	0.0037	0.0	0.0003	0.1729	0.0004	0.0011	0.5276	0.0001	0.0	0.2975	0.0
sp|Q66H94|Positive_22	Endoplasmic_reticulum	0.0115	0.0	0.0002	0.0684	0.0004	0.0009	0.5622	0.0	0.0002	0.3676	0.0
sp|Q9Z247|Positive_22	Endoplasmic_reticulum	0.0154	0.0	0.0001	0.0452	0.0004	0.0007	0.6367	0.0	0.0005	0.3163	0.0
sp|Q67IX6|Positive_18	Endoplasmic_reticulum	0.0175	0.0001	0.0004	0.0844	0.0003	0.0001	0.8758	0.0	0.0006	0.0382	0.0
sp|Q04456|Positive_24	Extracellular	0.0032	0.0	0.005	0.5483	0.0006	0.0002	0.2182	0.0001	0.0	0.2276	0.0001
sp|Q04457|Positive_24	Extracellular	0.0015	0.0	0.01	0.6534	0.0004	0.0002	0.2102	0.0001	0.0	0.1255	0.0001
sp|Q64573|Positive_25	Extracellular	0.0155	0.0004	0.0033	0.7648	0.0029	0.0006	0.1899	0.0004	0.0	0.0376	0.0001
sp|Q63010|Positive_25	Extracellular	0.0143	0.0004	0.0077	0.6728	0.0028	0.0013	0.2447	0.0032	0.0002	0.0663	0.0006
sp|P41684|Positive_26	Extracellular	0.0005	0.0	0.0025	0.6284	0.0005	0.0001	0.0692	0.0	0.0	0.2992	0.0
sp|O10363|Positive_26	Extracellular	0.0001	0.0	0.0016	0.8332	0.0003	0.0	0.022	0.0	0.0	0.1428	0.0
sp|Q69ST6|Positive_27	Plastid	0.4464	0.0101	0.0463	0.0687	0.0584	0.124	0.0772	0.3576	0.0063	0.2343	0.0171
sp|Q99220|Positive_28	Endoplasmic_reticulum	0.2004	0.0017	0.0028	0.1208	0.002	0.0023	0.7997	0.0007	0.0055	0.0645	0.0
sp|A3KPF5|Positive_29	Endoplasmic_reticulum	0.656	0.0005	0.0003	0.0059	0.0017	0.0043	0.63	0.0004	0.3178	0.0392	0.0
sp|Q84WV2|Positive_30	Endoplasmic_reticulum	0.035	0.0	0.0003	0.1013	0.0002	0.0003	0.5562	0.0	0.001	0.3407	0.0
sp|Q66GQ3|Positive_29	Endoplasmic_reticulum	0.3546	0.0002	0.0002	0.0064	0.0006	0.0004	0.8004	0.0	0.1663	0.0255	0.0
sp|Q28034|Positive_31	Extracellular	0.004	0.0066	0.013	0.7713	0.0116	0.0113	0.1568	0.0005	0.0005	0.0283	0.0
sp|Q9LKR7|Positive_30	Endoplasmic_reticulum	0.0164	0.0	0.0008	0.158	0.0003	0.0003	0.6022	0.0	0.0001	0.2382	0.0
sp|Q5WA72|Positive_29	Endoplasmic_reticulum	0.1459	0.0006	0.0018	0.0582	0.0046	0.0007	0.8329	0.0003	0.0492	0.0516	0.0001
sp|Q9SE50|Positive_30	Endoplasmic_reticulum	0.0658	0.0	0.0005	0.0937	0.0004	0.0006	0.5729	0.0	0.0011	0.3307	0.0001
sp|P14314|Positive_31	Extracellular	0.0023	0.0001	0.001	0.814	0.0003	0.0088	0.1513	0.0	0.0001	0.0244	0.0
sp|Q9LIF9|Positive_30	Endoplasmic_reticulum	0.0034	0.0	0.001	0.2738	0.0001	0.0002	0.5906	0.0	0.0	0.1341	0.0
sp|Q5NDL2|Positive_33	Extracellular	0.0217	0.002	0.0059	0.6866	0.0014	0.0023	0.2486	0.0	0.0006	0.0526	0.0
sp|Q5NDL9|Positive_33	Extracellular	0.0295	0.0026	0.0104	0.45	0.0025	0.0033	0.4375	0.0001	0.001	0.0924	0.0002
sp|A0JND3|Positive_33	Extracellular	0.0141	0.0018	0.0091	0.7753	0.0032	0.0018	0.1689	0.0002	0.0001	0.0395	0.0001
sp|Q5NDL0|Positive_33	Extracellular	0.0149	0.0021	0.0133	0.7133	0.0022	0.002	0.1991	0.0001	0.0003	0.0675	0.0
sp|Q5NDL1|Positive_33	Extracellular	0.0222	0.0019	0.0058	0.6821	0.0014	0.0021	0.2533	0.0	0.0006	0.0527	0.0
sp|D3Z6P0|Positive_32	Endoplasmic_reticulum	0.0547	0.0	0.0026	0.1674	0.001	0.0017	0.79	0.0001	0.0001	0.0371	0.0
sp|Q8BYW9|Positive_33	Extracellular	0.0245	0.0023	0.0105	0.7153	0.0024	0.002	0.2175	0.0001	0.0003	0.0497	0.0001
sp|Q6GQ23|Positive_33	Endoplasmic_reticulum	0.0338	0.0067	0.0273	0.3102	0.006	0.0038	0.4774	0.0004	0.0016	0.1661	0.0005
sp|Q5RCH2|Positive_32	Endoplasmic_reticulum	0.0212	0.0001	0.0011	0.2468	0.0009	0.0059	0.6629	0.0001	0.0002	0.082	0.0
sp|Q08CY9|Positive_33	Extracellular	0.0791	0.0007	0.0026	0.4676	0.0021	0.0087	0.4235	0.0001	0.0003	0.0944	0.0002
sp|Q13087|Positive_32	Endoplasmic_reticulum	0.0251	0.0001	0.0008	0.1541	0.002	0.0028	0.7974	0.0	0.0036	0.0392	0.0
sp|Q9C525|Positive_30	Endoplasmic_reticulum	0.0091	0.0	0.0004	0.1966	0.0003	0.0004	0.5633	0.0001	0.0002	0.2387	0.0
sp|Q9SR37|Positive_30	Endoplasmic_reticulum	0.0088	0.0	0.0008	0.1535	0.0002	0.0002	0.5878	0.0	0.0001	0.2574	0.0
sp|Q9C8Y9|Positive_30	Endoplasmic_reticulum	0.0241	0.0	0.0006	0.1375	0.0004	0.001	0.5833	0.0001	0.0009	0.276	0.0
sp|P17967|Positive_34	Endoplasmic_reticulum	0.0104	0.0006	0.0053	0.2191	0.0007	0.0002	0.7426	0.0005	0.0001	0.0309	0.0
sp|O08795|Positive_31	Extracellular	0.0036	0.0003	0.0013	0.7273	0.0012	0.0112	0.2176	0.0	0.0002	0.0408	0.0
sp|Q2KIL5|Positive_35	Endoplasmic_reticulum	0.2325	0.0014	0.0044	0.1848	0.0137	0.0089	0.7066	0.002	0.0034	0.0744	0.0005
sp|Q4WCG2|Positive_36	Endoplasmic_reticulum	0.1815	0.0038	0.0029	0.0836	0.0523	0.0031	0.6898	0.0005	0.1299	0.0335	0.0004
sp|Q9VQB7|Positive_33	Endoplasmic_reticulum	0.1344	0.0033	0.0077	0.381	0.0067	0.0193	0.494	0.0004	0.0017	0.0856	0.0004
sp|Q14554|Positive_35	Endoplasmic_reticulum	0.0375	0.0003	0.0017	0.4014	0.005	0.002	0.544	0.0002	0.0003	0.0452	0.0
sp|Q921X9|Positive_35	Endoplasmic_reticulum	0.1473	0.0025	0.0063	0.2603	0.0204	0.0063	0.6621	0.0021	0.001	0.0387	0.0003
sp|P32474|Positive_34	Endoplasmic_reticulum	0.1182	0.0008	0.0036	0.04	0.0011	0.001	0.8673	0.0008	0.0047	0.0807	0.0
sp|Q7XRB5|Positive_27	Endoplasmic_reticulum	0.0163	0.0002	0.0094	0.3332	0.0006	0.0002	0.5755	0.0016	0.0	0.0793	0.0
sp|Q5I0H9|Positive_35	Endoplasmic_reticulum	0.1502	0.0021	0.0048	0.2292	0.0151	0.0055	0.7045	0.0015	0.0013	0.0358	0.0001
sp|Q12730|Positive_34	Endoplasmic_reticulum	0.0024	0.0	0.0028	0.431	0.0005	0.0003	0.53	0.0	0.0	0.0354	0.0
sp|Q00248|Positive_34	Endoplasmic_reticulum	0.0048	0.0	0.0005	0.3074	0.0005	0.0003	0.6666	0.0	0.0	0.0246	0.0
sp|P52589|Positive_27	Endoplasmic_reticulum	0.0054	0.0	0.0025	0.1882	0.0003	0.0003	0.7523	0.0002	0.0	0.0561	0.0
sp|P09102|Positive_32	Endoplasmic_reticulum	0.0222	0.0006	0.0013	0.0783	0.0009	0.0001	0.8825	0.0004	0.0004	0.0355	0.0
sp|P80284|Positive_27	Endoplasmic_reticulum	0.0057	0.0	0.0022	0.1581	0.0003	0.0002	0.7869	0.0002	0.0	0.0522	0.0
