ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|P39060|Negative_29	Extracellular	0.0018	0.0001	0.0001	0.9937	0.0	0.0035	0.0023	0.0	0.0	0.0003	0.0
sp|Q8TGE1|Negative_32	Cell_membrane	0.4428	0.0074	0.0228	0.401	0.0078	0.4595	0.0609	0.001	0.0262	0.0124	0.001
sp|P82987|Negative_30	Extracellular	0.0011	0.0001	0.0002	0.9965	0.0	0.0017	0.001	0.0	0.0001	0.0003	0.0
sp|Q9QZR9|Negative_31	Extracellular	0.009	0.0013	0.0006	0.895	0.001	0.0147	0.0013	0.0	0.0141	0.072	0.0
sp|Q9QZS0|Negative_31	Extracellular	0.0001	0.0	0.0001	0.9964	0.0	0.0001	0.0005	0.0	0.0	0.003	0.0
sp|P02463|Negative_31	Extracellular	0.0	0.0	0.0	0.9988	0.0	0.0	0.0004	0.0	0.0	0.0007	0.0
sp|Q68SA9|Negative_34	Extracellular	0.0	0.0	0.0	0.9998	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0
sp|Q9UPZ6|Negative_33	Cell_membrane	0.9995	0.0	0.0	0.0	0.0001	0.9981	0.0004	0.0	0.0013	0.0001	0.0
sp|Q94637|Negative_35	Endoplasmic_reticulum	0.0566	0.0068	0.02	0.4461	0.0156	0.0089	0.4626	0.0007	0.0056	0.0332	0.0004
sp|Q7Z1M0|Negative_36	Extracellular	0.0533	0.0014	0.0022	0.703	0.0018	0.005	0.2631	0.0	0.0005	0.023	0.0
sp|Q13219|Negative_37	Extracellular	0.0001	0.0	0.0	0.9996	0.0	0.0002	0.0001	0.0	0.0	0.0002	0.0
sp|Q8N2S1|Negative_38	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
sp|P25653|Negative_39	Cell_membrane	0.7723	0.0378	0.0766	0.0238	0.0039	0.4683	0.2838	0.0032	0.0444	0.0494	0.0087
sp|Q07092|Negative_40	Extracellular	0.0002	0.0	0.0	0.9993	0.0001	0.0004	0.0001	0.0	0.0	0.0001	0.0
sp|Q95218|Negative_41	Extracellular	0.0	0.0	0.0	0.9995	0.0	0.0	0.0001	0.0	0.0	0.0003	0.0
sp|P18171|Negative_42	Extracellular	0.0058	0.003	0.0005	0.9263	0.0002	0.0036	0.0602	0.0	0.0031	0.0031	0.0
sp|O14514|Negative_43	Cell_membrane	0.9997	0.0	0.0	0.0	0.0	0.9992	0.0005	0.0	0.0001	0.0001	0.0
sp|Q5A5M7|Negative_44	Cell_membrane	0.8959	0.0	0.0	0.0871	0.0	0.8072	0.0844	0.0	0.0164	0.0049	0.0
sp|Q80Z71|Negative_45	Extracellular	0.0014	0.0	0.0	0.7985	0.0	0.0093	0.1317	0.0	0.0	0.0605	0.0
sp|Q3U492|Negative_15	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|Q9VPF0|Negative_46	Cell_membrane	0.8205	0.0116	0.0063	0.1123	0.0028	0.4011	0.3686	0.0004	0.0818	0.0145	0.0007
sp|O94813|Negative_47	Extracellular	0.0	0.0	0.0001	0.9989	0.0	0.0002	0.0002	0.0	0.0	0.0004	0.0
sp|Q5AAL9|Negative_48	Cell_membrane	0.9186	0.0019	0.001	0.0155	0.0008	0.7314	0.1158	0.0001	0.0935	0.0397	0.0003
sp|P24014|Negative_49	Extracellular	0.0011	0.0009	0.0014	0.9755	0.0001	0.0042	0.0084	0.0	0.0018	0.0077	0.0
sp|Q63041|Negative_50	Extracellular	0.0116	0.0002	0.001	0.7171	0.0018	0.0018	0.2378	0.0	0.0007	0.0396	0.0
sp|Q03626|Negative_50	Extracellular	0.0075	0.0003	0.0016	0.754	0.0007	0.0028	0.0967	0.0	0.0016	0.1422	0.0
sp|B6KV60|Negative_51	Cell_membrane	0.9612	0.0012	0.0003	0.0284	0.0143	0.535	0.2817	0.0014	0.1223	0.013	0.0023
sp|Q92626|Negative_52	Extracellular	0.0188	0.0001	0.0003	0.9022	0.0005	0.0144	0.0359	0.0	0.0155	0.0311	0.0
sp|Q3UQ28|Negative_52	Extracellular	0.0065	0.0001	0.0002	0.9184	0.0003	0.0045	0.0585	0.0	0.0035	0.0145	0.0
sp|P01023|Negative_50	Extracellular	0.0008	0.0	0.0002	0.8723	0.0001	0.0005	0.0947	0.0	0.0	0.032	0.0
sp|Q7SZN0|Negative_53	Extracellular	0.0441	0.0041	0.0072	0.5968	0.0052	0.003	0.2555	0.0002	0.0036	0.124	0.0004
sp|Q58L91|Negative_53	Extracellular	0.0337	0.0123	0.0233	0.6125	0.0201	0.0043	0.2219	0.0007	0.0075	0.0959	0.0015
sp|A8K2U0|Negative_54	Extracellular	0.0005	0.0	0.0007	0.965	0.0005	0.0002	0.0134	0.0	0.0	0.02	0.0
sp|O75882|Negative_55	Cell_membrane	0.9982	0.0002	0.0	0.0002	0.0001	0.9939	0.0025	0.0	0.0028	0.0004	0.0
sp|Q76LX8|Negative_56	Extracellular	0.0957	0.0053	0.0043	0.8194	0.0042	0.0422	0.0083	0.0001	0.0806	0.0355	0.0001
sp|Q769J6|Negative_56	Extracellular	0.2075	0.0283	0.028	0.7015	0.0041	0.1098	0.0195	0.0002	0.0894	0.0183	0.0009
sp|Q8CIZ5|Negative_41	Cell_membrane	0.9374	0.0	0.0	0.046	0.0003	0.9013	0.0162	0.0	0.0008	0.0354	0.0
sp|Q92954|Negative_57	Extracellular	0.0002	0.0	0.0	0.9975	0.0	0.0015	0.0007	0.0	0.0	0.0003	0.0
sp|Q8BV57|Negative_58	Extracellular	0.0001	0.0	0.0001	0.9979	0.0	0.0002	0.0017	0.0	0.0	0.0002	0.0
sp|Q5A2Z7|Negative_59	Cell_membrane	0.9161	0.001	0.0001	0.0381	0.0002	0.6825	0.2172	0.0	0.0335	0.0274	0.0001
sp|Q5A8T7|Negative_59	Cell_membrane	0.904	0.0009	0.0001	0.0447	0.0002	0.6442	0.2333	0.0	0.0432	0.0333	0.0001
sp|P17948|Negative_60	Cell_membrane	0.9899	0.002	0.0005	0.0008	0.0002	0.8942	0.0787	0.0	0.0161	0.0074	0.0001
sp|O45599|Negative_61	Extracellular	0.0001	0.0002	0.0004	0.9685	0.0	0.0043	0.0146	0.0	0.0001	0.0118	0.0
sp|Q5A1E0|Negative_44	Cell_membrane	0.7737	0.0023	0.0018	0.0886	0.0007	0.5269	0.2469	0.0	0.0682	0.0644	0.0001
sp|Q9UQP3|Negative_45	Extracellular	0.002	0.0	0.0001	0.7236	0.0	0.0019	0.2239	0.0	0.0002	0.0503	0.0
sp|Q5A8T4|Negative_24	Cell_membrane	0.7383	0.0002	0.0009	0.1964	0.0	0.6677	0.079	0.0	0.0085	0.0473	0.0
sp|Q810U4|Negative_62	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9985	0.001	0.0	0.0004	0.0001	0.0
sp|Q59XA7|Negative_44	Cell_membrane	0.6031	0.0005	0.0	0.2702	0.0001	0.5803	0.0546	0.0	0.0448	0.0495	0.0
sp|Q5A849|Negative_63	Cell_membrane	0.9908	0.0001	0.0	0.0	0.0002	0.9849	0.0064	0.0	0.0017	0.0067	0.0
sp|P18169|Negative_42	Extracellular	0.0014	0.0001	0.0	0.92	0.0001	0.0003	0.0772	0.0	0.0007	0.0016	0.0
sp|Q9NPG4|Negative_65	Cell_membrane	0.9993	0.0002	0.0	0.0001	0.0001	0.9884	0.0069	0.0	0.0039	0.0004	0.0
sp|O75339|Negative_64	Extracellular	0.0016	0.0139	0.0019	0.9815	0.0001	0.0022	0.0002	0.0	0.0	0.0002	0.0
sp|P07996|Negative_66	Extracellular	0.0392	0.0003	0.0006	0.5431	0.0005	0.0193	0.3158	0.0001	0.0009	0.1193	0.0
sp|G5EC21|Negative_67	Extracellular	0.0046	0.0009	0.0003	0.9259	0.0002	0.0009	0.0642	0.0	0.0015	0.006	0.0
sp|Q8IUL8|Negative_64	Extracellular	0.0001	0.0	0.0	0.9986	0.0	0.0002	0.0011	0.0	0.0	0.0	0.0
sp|Q86VB7|Negative_68	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0001	0.0	0.0
sp|Q59L12|Negative_24	Cell_membrane	0.8054	0.0003	0.0	0.1247	0.0	0.7937	0.0522	0.0	0.011	0.0181	0.0
sp|Q5AIR7|Negative_69	Extracellular	0.002	0.0012	0.0517	0.9189	0.0012	0.0012	0.0138	0.0003	0.0002	0.0111	0.0004
sp|O97939|Negative_70	Extracellular	0.0901	0.0027	0.0022	0.8158	0.0043	0.039	0.0236	0.0001	0.0658	0.0466	0.0
sp|Q2UY11|Negative_71	Extracellular	0.0009	0.0	0.0	0.9872	0.0001	0.0012	0.0027	0.0	0.0003	0.0085	0.0
sp|H2A0L6|Negative_72	Extracellular	0.0019	0.0001	0.0002	0.9933	0.0	0.0027	0.0029	0.0	0.0	0.0008	0.0
sp|P86956|Negative_72	Extracellular	0.0138	0.0001	0.0002	0.9738	0.0001	0.0103	0.0132	0.0	0.0001	0.0021	0.0
sp|Q640N1|Negative_73	Extracellular	0.012	0.001	0.0018	0.678	0.0003	0.0161	0.2526	0.0	0.0004	0.0497	0.0
sp|Q02763|Negative_74	Cell_membrane	0.9999	0.0	0.0	0.0	0.0001	0.9996	0.0003	0.0	0.0	0.0	0.0
sp|P53753|Negative_69	Extracellular	0.0311	0.0002	0.0022	0.8232	0.0007	0.0057	0.1223	0.0002	0.0002	0.0454	0.0
sp|Q9H324|Negative_75	Extracellular	0.0	0.0	0.0001	0.999	0.0	0.0003	0.0002	0.0	0.0	0.0004	0.0
sp|Q59XL0|Negative_76	Cell_membrane	0.6663	0.0025	0.0017	0.2463	0.0073	0.555	0.1049	0.0001	0.0559	0.0255	0.0007
sp|Q5AAU5|Negative_77	Lysosome/Vacuole	0.1017	0.0038	0.0281	0.2309	0.0076	0.0343	0.0919	0.0123	0.0052	0.5733	0.0126
sp|P38894|Negative_78	Cell_membrane	0.9049	0.0002	0.0002	0.0419	0.0001	0.87	0.0786	0.0	0.0052	0.0037	0.0
sp|Q6UY14|Negative_79	Extracellular	0.0001	0.0	0.0	0.9999	0.0	0.0	0.0001	0.0	0.0	0.0	0.0
sp|P13635|Negative_80	Extracellular	0.0012	0.0001	0.0009	0.7646	0.0002	0.0002	0.1008	0.0	0.0	0.1332	0.0
sp|D4B5H9|Negative_81	Extracellular	0.0001	0.0	0.0	0.9972	0.0	0.0001	0.0017	0.0	0.0	0.0009	0.0
sp|Q9VZH2|Negative_82	Extracellular	0.0065	0.0002	0.0004	0.979	0.0001	0.0064	0.0074	0.0	0.001	0.0054	0.0
sp|P90884|Negative_83	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|Q62845|Negative_84	Cell_membrane	0.626	0.0008	0.001	0.3367	0.0003	0.565	0.048	0.0	0.015	0.0332	0.0001
sp|P12110|Negative_85	Extracellular	0.0001	0.0	0.0	0.9893	0.0	0.0002	0.0098	0.0	0.0	0.0007	0.0
sp|O57382|Negative_86	Extracellular	0.0004	0.0	0.0002	0.9589	0.0	0.0014	0.0166	0.0	0.0001	0.0227	0.0
sp|G1UB63|Negative_87	Cell_membrane	0.9778	0.0002	0.0001	0.0267	0.0002	0.9025	0.0601	0.0	0.0096	0.0006	0.0
sp|Q3UTY6|Negative_88	Extracellular	0.0004	0.0001	0.0003	0.9986	0.0001	0.0003	0.0001	0.0	0.0	0.0006	0.0
sp|Q4VBE4|Negative_89	Extracellular	0.001	0.0009	0.0075	0.9633	0.0041	0.0015	0.0046	0.005	0.0	0.013	0.0001
sp|Q9Y6C2|Negative_90	Extracellular	0.0452	0.0046	0.0128	0.7717	0.0448	0.045	0.1054	0.0022	0.0019	0.0116	0.0001
sp|O35082|Negative_91	Cell_membrane	0.9799	0.0	0.0	0.0003	0.0015	0.4248	0.2842	0.0	0.2492	0.0399	0.0001
sp|H2A0N4|Negative_92	Extracellular	0.0191	0.1077	0.009	0.5603	0.0156	0.0052	0.289	0.0002	0.0011	0.0118	0.0
sp|Q9UEF7|Negative_91	Cell_membrane	0.9957	0.0004	0.0	0.0001	0.0029	0.6161	0.3313	0.0003	0.0328	0.0146	0.0014
sp|Q9DER7|Negative_86	Extracellular	0.0001	0.0	0.0	0.9942	0.0	0.0002	0.0026	0.0	0.0	0.0031	0.0
sp|P79953|Negative_93	Extracellular	0.0007	0.0001	0.0004	0.9739	0.0003	0.0013	0.0138	0.0	0.0001	0.0101	0.0
sp|Q8IX30|Negative_94	Extracellular	0.0	0.0	0.0	0.9992	0.0	0.0003	0.0002	0.0	0.0	0.0002	0.0
sp|P98063|Negative_86	Extracellular	0.0008	0.0	0.0001	0.8757	0.0	0.0036	0.0714	0.0	0.0006	0.0486	0.0
sp|Q8IWY4|Negative_94	Extracellular	0.0006	0.0198	0.0128	0.9591	0.0077	0.0003	0.0001	0.0	0.0	0.0001	0.0
sp|P13497|Negative_86	Extracellular	0.0006	0.0	0.0001	0.9535	0.0	0.0009	0.0303	0.0	0.0	0.0151	0.0
sp|B6KJ32|Negative_95	Extracellular	0.0529	0.004	0.0066	0.7556	0.003	0.0563	0.1483	0.0021	0.0027	0.0214	0.0
sp|P29320|Negative_96	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
sp|P02674|Negative_97	Nucleus	0.0783	0.5201	0.4469	0.0007	0.0002	0.031	0.0	0.0	0.0007	0.0003	0.0001
sp|Q9Z1T2|Negative_98	Extracellular	0.0176	0.0083	0.0112	0.6591	0.0127	0.0074	0.2087	0.003	0.001	0.0883	0.0003
sp|Q09101|Negative_99	Extracellular	0.0224	0.0047	0.0031	0.9116	0.0016	0.0109	0.0362	0.0	0.0205	0.0112	0.0
sp|Q96P44|Negative_100	Extracellular	0.0	0.0	0.0	0.9953	0.0	0.0001	0.0039	0.0	0.0	0.0007	0.0
sp|P18170|Negative_42	Extracellular	0.0023	0.0202	0.0259	0.8932	0.0	0.0012	0.0564	0.0	0.0012	0.0019	0.0
sp|Q8R2G6|Negative_102	Extracellular	0.0294	0.0056	0.0042	0.8388	0.0209	0.0222	0.0927	0.0004	0.0045	0.0108	0.0
sp|Q9H8L6|Negative_101	Mitochondrion	0.4256	0.0134	0.1321	0.1	0.4	0.0178	0.1507	0.1342	0.0153	0.0139	0.0227
sp|Q5A029|Negative_48	Cell_membrane	0.7862	0.003	0.0024	0.0943	0.0007	0.611	0.2226	0.0001	0.0379	0.0279	0.0001
sp|Q5A6U1|Negative_48	Cell_membrane	0.8398	0.0031	0.0016	0.0731	0.0004	0.7057	0.1695	0.0	0.0299	0.0166	0.0001
sp|O74168|Negative_103	Extracellular	0.0011	0.0	0.0008	0.957	0.0003	0.0007	0.0095	0.0	0.0001	0.0316	0.0
sp|O60462|Negative_104	Cell_membrane	0.9785	0.0001	0.0	0.0006	0.0002	0.9538	0.029	0.0	0.0038	0.0125	0.0
sp|Q9UUZ3|Negative_103	Extracellular	0.0003	0.0	0.0007	0.9191	0.0007	0.0002	0.0088	0.0	0.0	0.0705	0.0
sp|D4AR77|Negative_106	Extracellular	0.0018	0.0024	0.0347	0.9355	0.0139	0.0012	0.0026	0.0003	0.0001	0.009	0.0003
sp|Q9UNA0|Negative_105	Extracellular	0.0002	0.0	0.0001	0.9996	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0
sp|D4AUF1|Negative_108	Extracellular	0.0126	0.0006	0.0055	0.9769	0.0018	0.0069	0.0026	0.0001	0.0001	0.0055	0.0
sp|Q59KZ1|Negative_107	Endoplasmic_reticulum	0.3723	0.0109	0.0606	0.1058	0.0548	0.0298	0.4598	0.0579	0.041	0.1607	0.0188
sp|P79263|Negative_109	Extracellular	0.0202	0.0001	0.0003	0.8444	0.0002	0.0083	0.1177	0.0	0.0008	0.0282	0.0
sp|Q5AL03|Negative_110	Cell_membrane	0.8579	0.0	0.0	0.0609	0.0001	0.8233	0.0388	0.0	0.0242	0.0526	0.0
sp|P40189|Negative_111	Cell_membrane	0.9988	0.0001	0.0	0.0	0.0001	0.9842	0.0134	0.0	0.0016	0.0006	0.0
sp|Q3T052|Negative_109	Extracellular	0.0385	0.0001	0.0008	0.8085	0.0004	0.0114	0.1267	0.0	0.0026	0.0494	0.0
sp|A8K7I4|Negative_112	Extracellular	0.0007	0.0001	0.0037	0.9803	0.0002	0.0008	0.0079	0.0	0.0	0.007	0.0
sp|Q9D7Z6|Negative_112	Extracellular	0.0006	0.0008	0.0121	0.9556	0.0004	0.0004	0.0154	0.0	0.0	0.0152	0.0
sp|Q5T601|Negative_113	Cell_membrane	0.9919	0.0	0.0	0.0	0.0002	0.9717	0.0146	0.0	0.0033	0.0101	0.0
sp|D4AZ24|Negative_114	Extracellular	0.0002	0.0	0.0005	0.9876	0.0001	0.0002	0.0044	0.0	0.0	0.0072	0.0
sp|Q59PF9|Negative_115	Cell_membrane	0.7854	0.0032	0.0072	0.1435	0.0064	0.6212	0.1796	0.0035	0.0136	0.0208	0.0009
sp|Q4R1C4|Negative_116	Extracellular	0.0006	0.0	0.0003	0.9665	0.0009	0.0001	0.0086	0.0001	0.0	0.0236	0.0
sp|D4B1B1|Negative_117	Cell_membrane	0.8849	0.0003	0.0002	0.1179	0.0001	0.8622	0.0151	0.0	0.0037	0.0006	0.0
sp|A1A4K5|Negative_118	Extracellular	0.044	0.0005	0.0006	0.7549	0.0011	0.0198	0.1021	0.0	0.0527	0.068	0.0001
sp|Q64610|Negative_118	Extracellular	0.038	0.001	0.0008	0.9105	0.0003	0.0007	0.0544	0.0	0.027	0.0052	0.0
sp|D4AUH1|Negative_116	Extracellular	0.0084	0.0	0.0008	0.7185	0.0039	0.0018	0.1004	0.0003	0.0001	0.174	0.0002
sp|D4B0V1|Negative_119	Extracellular	0.0001	0.0	0.0	0.995	0.0	0.0002	0.0019	0.0	0.0	0.003	0.0
sp|P02671|Negative_121	Extracellular	0.0	0.0	0.0	0.999	0.0	0.0	0.0006	0.0	0.0	0.0004	0.0
sp|Q96F46|Negative_120	Cell_membrane	0.999	0.0	0.0	0.0	0.0	0.9793	0.0181	0.0	0.0018	0.0007	0.0
sp|D4B0X3|Negative_122	Extracellular	0.001	0.0	0.0007	0.832	0.0004	0.0002	0.0428	0.0	0.0	0.1238	0.0
sp|Q13822|Negative_118	Extracellular	0.1158	0.0004	0.0004	0.7988	0.0008	0.0157	0.0173	0.0	0.1291	0.0375	0.0
sp|D4AMT2|Negative_123	Extracellular	0.0036	0.0001	0.0002	0.8769	0.0018	0.0004	0.101	0.0001	0.0	0.0194	0.0
sp|Q9R1E6|Negative_118	Extracellular	0.1225	0.0036	0.0038	0.7795	0.0023	0.0068	0.1038	0.0	0.0811	0.0191	0.0
sp|Q5K4E3|Negative_124	Cell_membrane	0.636	0.0002	0.0001	0.2993	0.0	0.6404	0.0384	0.0	0.0052	0.0164	0.0
sp|Q9TUQ3|Negative_125	Extracellular	0.0	0.0001	0.0007	0.9991	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|Q8L7W8|Negative_126	Extracellular	0.0828	0.0003	0.0026	0.5517	0.0029	0.0089	0.3295	0.0009	0.0018	0.1012	0.0002
sp|P80109|Negative_127	Extracellular	0.0005	0.0	0.0001	0.9703	0.0001	0.0003	0.0171	0.0	0.0	0.0121	0.0
sp|Q62009|Negative_128	Endoplasmic_reticulum	0.011	0.0011	0.0034	0.4487	0.0027	0.0025	0.5106	0.0003	0.0001	0.0306	0.0
sp|Q15063|Negative_128	Endoplasmic_reticulum	0.0438	0.0015	0.0091	0.2733	0.0083	0.0032	0.6501	0.0025	0.0002	0.0515	0.0002
sp|Q873Y0|Negative_129	Cell_membrane	0.9626	0.0008	0.0007	0.0512	0.0007	0.93	0.0131	0.0001	0.0025	0.0011	0.0
sp|Q9P2K2|Negative_130	Endoplasmic_reticulum	0.6704	0.086	0.0278	0.0048	0.0523	0.014	0.5624	0.0078	0.2178	0.0249	0.0022
sp|D4AN50|Negative_131	Extracellular	0.0001	0.0	0.0	0.9833	0.0	0.0	0.0073	0.0	0.0	0.0093	0.0
sp|Q13443|Negative_132	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9996	0.0002	0.0	0.0001	0.0	0.0
sp|P11995|Negative_133	Extracellular	0.0168	0.0001	0.0042	0.6532	0.0019	0.0002	0.1648	0.0001	0.0003	0.1751	0.0001
sp|Q62918|Negative_134	Extracellular	0.0	0.0	0.0001	0.9998	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
sp|Q27394|Negative_135	Extracellular	0.0017	0.0001	0.0514	0.9222	0.0001	0.0044	0.0198	0.0	0.0001	0.002	0.0
sp|P00747|Negative_136	Extracellular	0.0001	0.0	0.0007	0.9985	0.0	0.0002	0.0002	0.0	0.0	0.0004	0.0
sp|Q9VEG6|Negative_137	Extracellular	0.0008	0.0001	0.0005	0.951	0.0002	0.0005	0.0376	0.0	0.0003	0.0099	0.0
sp|B6EY09|Negative_138	Extracellular	0.0005	0.0	0.0004	0.9808	0.0002	0.0001	0.0069	0.0	0.0	0.0116	0.0
sp|Q28193|Negative_139	Cell_membrane	0.9987	0.0003	0.0001	0.0004	0.002	0.9935	0.0026	0.0	0.0008	0.0002	0.0001
sp|H2A0M7|Negative_140	Extracellular	0.0042	0.0007	0.0009	0.9929	0.0002	0.0009	0.0039	0.0	0.0	0.0005	0.0
sp|E9PV24|Negative_121	Extracellular	0.0001	0.0	0.0	0.9908	0.0	0.0	0.0074	0.0	0.0	0.0018	0.0
